name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;183;0;405;3091;1292;3091;1385;0
header;158;148;158;186;1795;186;1795;148
A;980;213;980;238;1000;238;1000;213
A;996;271;996;271;997;271;997;271
A;312;272;312;282;317;282;317;272
A;1089;409;1089;415;1094;415;1094;409
A;1003;687;1003;688;1004;688;1004;687
A;1003;733;1003;733;1003;733;1003;733
A;359;775;359;783;366;783;366;775
A;1003;779;1003;779;1003;779;1003;779
B;982;884;982;910;1001;910;1001;884
A;979;945;979;945;979;945;979;945
B;1018;1086;1018;1104;1031;1104;1031;1086
A;1225;1512;1225;1513;1227;1513;1227;1512
C;984;1550;984;1579;1004;1579;1004;1550
A;772;2122;772;2129;778;2129;778;2122
D;988;2220;988;2246;1009;2246;1009;2220
A;769;2575;769;2599;783;2599;783;2575
