name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;899;0;922;3081;1580;3081;1255;0
header;151;100;151;145;1756;145;1756;100
A;1049;90;1049;90;1050;90;1050;90
A;930;163;930;190;950;190;950;163
B;939;850;939;876;957;876;957;850
C;1106;853;1106;871;1120;871;1120;853
C;1049;1037;1049;1056;1063;1056;1063;1037
C;1293;1038;1293;1058;1307;1058;1307;1038
C;1259;1174;1259;1193;1272;1193;1272;1174
A;1381;1256;1381;1259;1384;1259;1384;1256
C;1329;1537;1329;1556;1343;1556;1343;1537
C;932;1602;932;1630;952;1630;952;1602
A;973;1666;973;1666;973;1666;973;1666
D;935;2283;935;2309;957;2309;957;2283
A;1345;2719;1345;2722;1350;2722;1350;2719
A;1309;2872;1309;2874;1309;2874;1309;2872
